Time,Freecells,Donor1-03,Donor2-01,Donor2-03,Donor3-07,Donor3-08,Donor3-09,Donor3-11,Donor3-13,Donor4-01,Donor4-02,Donor4-05,Donor4-09,DRCaps1,DRCaps2,DRCaps3
0,2.36E+07,3750000,1.42E+08,7.55E+07,1.57E+07,7030000,6.50E+08,6670000,9860000,9910000,789000,6610000,5610000,2730000,6340000,3900000
1,667000,,,,3.36E+07,1.20E+07,2.11E+08,3450000,1.30E+07,3160000,1650000,1.35E+07,6290000,8.48E+07,6.24E+07,4880000
3,500000,,,,3.55E+07,4200000,2.79E+08,3.89E+07,2.40E+07,909000,1530000,9.05E+08,2.44E+09,1.43E+07,3575000,1.86E+07
6,312000,311000,750000,1250000,2336448.6,1704545.45,1.54E+08,1.54E+07,2.13E+07,4014598.54,697674419,1.78E+07,1.39E+07,1.30E+07,1950000,7150000
8,321000,,,,,,,,,,,,,,,
12,1430000,634000,55263.1579,761363636,,,,,,,,,,,,
0,1.23E+07,3400000,224000,1.22E+08,1.74E+07,1.40E+07,5.95E+08,1.80E+07,1.50E+07,1600000,2540000,9970000,5980000,2605000,4.71E+07,3970000
1,,,,,5.41E+07,1.32E+07,2.19E+08,1.09E+07,1.87E+07,1050000,1100000,1.09E+07,6640000,1.80E+08,4.16E+07,5850000
3,1500000,,,,3.67E+07,8020000,2.51E+08,2.78E+07,3.43E+07,1820000,1020000,6.47E+08,1.15E+09,1.33E+07,4560000,1.76E+07
6,312000,932000,500000,625000,1869158.88,5681818.18,1.80E+08,1.26E+07,1.77E+07,6204379.56,1395348.84,2.37E+07,1.89E+07,9750000,1625000,1.17E+07
8,321000,,,,,,,,,,,,,,,
12,565000,654000,81578.9474,426136364,,,,,,,,,,,,
0,2170000,8350000,374000,7.29E+07,2.01E+07,2680000,4.98E+08,9870000,1.01E+07,2470000,,6530000,5560000,3970000,7.18E+07,4880000
1,,,,,6.09E+07,8910000,1.80E+08,8620000,1.26E+07,1.16E+07,,9130000,3150000,1.56E+08,1.53E+07,2605000
3,,,,,2.90E+07,1.11E+07,2.20E+08,3.52E+07,3.38E+07,1520000,510000,9.91E+08,1.54E+09,1.07E+07,4230000,1.33E+07
6,,1240000,250000,,1401869.16,3409090.91,1.65E+08,1.26E+07,1.60E+07,8394160.58,232558.14,1.48E+07,1.15E+07,1.14E+07,1300000,7480000
8,250000,,,,,,,,,,,,,,,
12,,379000,68421.0526,312500,,,,,,,,,,,,
